ID,Sent,Ground Truth Query
49,Ceilings whose area is less than the minimum area of space. ,"SELECT ?ceiling1_0 ?area3_0 ?area9_0 ?space11_0 WHERE{  BIND ( ifcowl:CEILING AS ?ceiling1_0 ) . ?area3_0 a ifcowl:IfcProperty . ?area3_0 ifcowl:name_IfcProperty/expr:hasString  ""Area"" . ?tempofceiling1_0 schm:hasProperty ?area3_0  . ?area9_0 a ifcowl:IfcProperty . ?area9_0 ifcowl:name_IfcProperty/expr:hasString  ""Area"" . ?area9_0 bimnlq:ispropertyof ?space11_0  . ?ceiling1_0 bimnlq:istypeenumof ?tempofceiling1_0  . ?space11_0 a ifcowl:IfcSpace . ?area3_0 bimnlq:lessthan_property ?area9_0  . }ORDER BY ASC( ?area9_0value)
LIMIT 1"
50,Select the door with the maximum height.,"SELECT ?door3_0 ?height7_0 WHERE{   ?height7_0 a ifcowl:IfcPhysicalQuantity . ?height7_0 ifcowl:name_IfcPhysicalQuantity/expr:hasString ""Height"" . ?door3_0 schm:hasQuantity ?height7_0  . ?door3_0 a ifcowl:IfcDoor .}ORDER BY DESC( ?height7_0value) LIMIT 1"
51,Find building storey with elevation less than 0 . ,"SELECT ?storey3_0 ?elevation5_0 WHERE{   ?storey3_0 a ifcowl:IfcBuildingStorey . ?storey3_0 schm:hasProperty ?elevation5_0  . ?elevation5_0 bimnlq:getpropertydoublevalue ?elevation5_0value  .FILTER ( ?elevation5_0value<0.0) . ?elevation5_0 a ifcowl:IfcProperty . ?elevation5_0 ifcowl:name_IfcProperty/expr:hasString  ""Elevation"" .}"
52,Select all beams on the second level,"SELECT ?beam3_0 ?variable6_0 WHERE{   ?variable6_0 a ifcowl:IfcBuildingStorey .?variable6_0 ifcowl:name_IfcRoot/expr:hasString ""Level 2""  . ?beam3_0 schm:isContainedIn ?variable6_0  . ?beam3_0 a ifcowl:IfcBeam .}"
53, What is the Filling elements of stair at Level 1? ,"SELECT ?stair7_0 ?variable9_0 ?fillingelements4_0 WHERE{   ?variable9_0 a ifcowl:IfcBuildingStorey .?variable9_0 ifcowl:name_IfcRoot/expr:hasString ""Level 1""  . ?stair7_0 schm:isContainedIn ?variable9_0  . ?stair7_0 a ifcowl:IfcStair . ?fillingelements4_0 bimnlq:ispropertyof ?stair7_0  . ?fillingelements4_0 bimnlq:getpropertystringvalue ?fillingelements4_0value  . ?fillingelements4_0 a ifcowl:IfcProperty . ?fillingelements4_0 ifcowl:name_IfcProperty/expr:hasString  ""Filling Elements"" .}"
54,Find windows with head height larger than 3.6 .,"SELECT ?window2_0 ?headheight4_0 WHERE{   ?headheight4_0 bimnlq:getpropertydoublevalue ?headheight4_0value  .FILTER ( ?headheight4_0value>3.6) . ?headheight4_0 a ifcowl:IfcProperty . ?headheight4_0 ifcowl:name_IfcProperty/expr:hasString  ""Head Height"" . ?window2_0 schm:hasProperty ?headheight4_0  . ?window2_0 a ifcowl:IfcWindow .}"
55,Show me the rooms next to B102.,"SELECT ?room4_0 ?variable7_0 WHERE{   ?variable7_0 a ifcowl:IfcSpace .?variable7_0 ifcowl:name_IfcRoot/expr:hasString ""B102""  . ?room4_0 schm:hasNextSpace ?variable7_0  . ?room4_0 a ifcowl:IfcSpace .}"
56,  does only 4/F have student association office?  ,"SELECT ?variable3_0 ?sudentassociationoffice5_0 WHERE{   ?sudentassociationoffice5_0 a ifcowl:IfcLabel . ?sudentassociationoffice5_0 expr:hasString ""Sudent Association Office"" . ?tempofsudentassociationoffice5_0 ifcowl:longName_IfcSpatialStructureElement ?sudentassociationoffice5_0  . ?variable3_0 schm:hasSpatialDecomposition ?tempofsudentassociationoffice5_0  . ?variable3_0 a ifcowl:IfcBuildingStorey .?variable3_0 ifcowl:name_IfcRoot/expr:hasString ""4/F""  .}"
57,  Retrieve rooms with NetFloorArea larger than NetFloorArea of space 03 .   ,"SELECT ?space9_0 ?room2_0 ?netfloorarea4_0 ?netfloorarea7_0 WHERE{   ?netfloorarea4_0 a ifcowl:IfcPhysicalQuantity . ?netfloorarea4_0 ifcowl:name_IfcPhysicalQuantity/expr:hasString ""NetFloorArea"" . ?room2_0 schm:hasQuantity ?netfloorarea4_0  . ?netfloorarea4_0 bimnlq:largerthan_property ?netfloorarea7_0  .?space9_0 ifcowl:name_IfcRoot/expr:hasString ""03""  . ?space9_0 a ifcowl:IfcSpace . ?space9_0  schm:hasQuantity ?netfloorarea7_0 ?room2_0 a ifcowl:IfcSpace . ?netfloorarea7_0 a ifcowl:IfcPhysicalQuantity . ?netfloorarea7_0 ifcowl:name_IfcPhysicalQuantity/expr:hasString ""NetFloorArea"" .}"
58, Is the height of shading device _ 559776 is equaling to the height of generic wall 504531? ,"SELECT ?height3_0 ?5597766_0 ?height11_0 ?wall14_0 ?50453115_0 WHERE{ ?height3_0 bimnlq:equalto_property  ?height11_0 . ?height11_0 bimnlq:ispropertyof ?wall14_0 . ?height3_0 bimnlq:ispropertyof ?tempof5597766_0 . ?tempof5597766_0 schm:hasTag ?5597766_0 .  ?50453115_0 a ifcowl:IfcIdentifier . ?50453115_0 expr:hasString ""504531"" . ?wall14_0 schm:hasTag ?50453115_0  . ?height3_0 a ifcowl:IfcProperty . ?height3_0 ifcowl:name_IfcProperty/expr:hasString  ""Height"" . ?wall14_0 a ifcowl:IfcWall . ?height11_0 a ifcowl:IfcProperty . ?height11_0 ifcowl:name_IfcProperty/expr:hasString  ""Height"" . ?5597766_0 a ifcowl:IfcIdentifier . ?5597766_0 expr:hasString ""559776"" .}"
59,The walls at the ground floor or 3rd floor. ,"SELECT ?groundfloor5_0 ?wall2_0 ?variable8_0 WHERE{   { ?groundfloor5_0 a ifcowl:IfcBuildingStorey .  ?wall2_0 schm:isContainedIn ?groundfloor5_0  . } UNION  { ?variable8_0 a ifcowl:IfcBuildingStorey . ?variable8_0 ifcowl:name_IfcRoot/expr:hasString ""Level 3""  .  ?wall2_0 schm:isContainedIn ?variable8_0  . }  ?wall2_0 a ifcowl:IfcWall .}"
60,The Office space on the ground floor.   ,"SELECT ?space3_0 ?groundfloor6_0 ?office2_0 WHERE{   ?groundfloor6_0 a ifcowl:IfcBuildingStorey . ?space3_0 bimnlq:hasspatialcomposition ?groundfloor6_0  . ?office2_0 a ifcowl:IfcLabel . ?office2_0 expr:hasString ""Office"" . ?space3_0 ifcowl:longName_IfcSpatialStructureElement ?office2_0  . ?space3_0 a ifcowl:IfcSpace .}"
61,"""Find walls whose thickness is at least 4.0 meter.","SELECT ?wall2_0 ?thickness4_0 WHERE{   ?thickness4_0 bimnlq:getpropertydoublevalue ?thickness4_0value  .FILTER ( ?thickness4_0value>=4.0) . ?thickness4_0 a ifcowl:IfcProperty . ?thickness4_0 ifcowl:name_IfcProperty/expr:hasString  ""Thickness"" . ?wall2_0 schm:hasProperty ?thickness4_0  . ?wall2_0 a ifcowl:IfcWall .}"
62, Show me the level that window 507305 is belonging to ,"SELECT ?level4_0 ?window6_0 ?5073057_0 WHERE{   ?window6_0 a ifcowl:IfcWindow . ?level4_0 schm:hasContainedProduct ?window6_0  . ?window6_0 ifcowl:tag_IfcElement ?5073057_0  . ?level4_0 a ifcowl:IfcBuildingStorey . ?5073057_0 a ifcowl:IfcIdentifier . ?5073057_0 expr:hasString ""507305"" .}"
63, Return the volume of slab 563743 ,"SELECT ?slab5_0 ?volume3_0 ?5637436_0 WHERE{   ?slab5_0 a ifcowl:IfcSlab . ?volume3_0 bimnlq:ispropertyof ?slab5_0  . ?slab5_0 ifcowl:tag_IfcElement ?5637436_0  . ?5637436_0 a ifcowl:IfcIdentifier . ?5637436_0 expr:hasString ""563743"" . ?volume3_0 a ifcowl:IfcProperty . ?volume3_0 ifcowl:name_IfcProperty/expr:hasString  ""Volume"" .}"
64,Select all object in the level with highest elevation .,"SELECT ?level6_0 ?object3_0 ?elevation9_0 WHERE{   ?level6_0 a ifcowl:IfcBuildingStorey . ?object3_0 schm:hasElementComposition ?level6_0  . ?object3_0 a ifcowl:IfcObject . ?level6_0 schm:hasProperty ?elevation9_0  . ?elevation9_0 a ifcowl:IfcProperty . ?elevation9_0 ifcowl:name_IfcProperty/expr:hasString  ""Elevation"" .}ORDER BY DESC( ?elevation9_0value) LIMIT 1"
65,Find ceilings with height offset from level = 2.5 . ,"SELECT ?ceiling2_0 ?heightoffsetfromlevel4_0 WHERE{  BIND ( ifcowl:CEILING AS ?ceiling2_0 ) . ?heightoffsetfromlevel4_0 bimnlq:getpropertydoublevalue ?heightoffsetfromlevel4_0value  .FILTER ( ?heightoffsetfromlevel4_0value=2.5) . ?heightoffsetfromlevel4_0 a ifcowl:IfcProperty . ?heightoffsetfromlevel4_0 ifcowl:name_IfcProperty/expr:hasString  ""Height Offset From Level"" . ?tempofceiling2_0 schm:hasProperty ?heightoffsetfromlevel4_0  . ?ceiling2_0 bimnlq:istypeenumof ?tempofceiling2_0  .}"
66, Is there any space whose volume is smaller than 20 cubic meter? ,"SELECT ?space4_0 ?volume6_0 WHERE{   ?space4_0 a ifcowl:IfcSpace . ?space4_0 schm:hasQuantity ?volume6_0  . ?volume6_0 bimnlq:getquantitydoublevalue ?volume6_0value  .FILTER ( ?volume6_0value<20.0) . ?volume6_0 a ifcowl:IfcPhysicalQuantity . ?volume6_0 ifcowl:name_IfcPhysicalQuantity/expr:hasString ""Volume"" .}"
67, Find the window which is located on a wall that also has a door ,SELECT ?window3_0 ?wall9_0 ?door14_0 WHERE{   ?wall9_0 a ifcowl:IfcWall . ?window3_0 schm:isPlacedIn ?wall9_0  . ?door14_0 schm:isPlacedIn ?wall9_0  . ?window3_0 a ifcowl:IfcWindow . ?door14_0 schm:isPlacedIn ?window3_0  . ?door14_0 a ifcowl:IfcDoor .}
68, Find the room at Level 1 that have columns ,"SELECT ?room3_0 ?variable5_0 ?column9_0 WHERE{   ?column9_0 a ifcowl:IfcColumn . ?room3_0 schm:hasSpaceBoundary ?column9_0  . ?variable5_0 a ifcowl:IfcBuildingStorey .?variable5_0 ifcowl:name_IfcRoot/expr:hasString ""Level 1""  . ?room3_0 bimnlq:hasspatialcomposition ?variable5_0  . ?room3_0 a ifcowl:IfcSpace .}"
69,List all object with the reference of Concrete-Square-Column:24 x 24. ,"SELECT ?object3_0 ?reference6_0 WHERE{   ?reference6_0 bimnlq:getpropertystringvalue ?reference6_0value  .FILTER ( ?reference6_0value = ""Concrete-Square-Column:24 x 24"")) . ?reference6_0 a ifcowl:IfcProperty . ?reference6_0 ifcowl:name_IfcProperty/expr:hasString  ""Reference"" . ?object3_0 schm:hasProperty ?reference6_0  .   ?object3_0 a ifcowl:IfcObject .}"
70, Show me the stair with elevation to project zero lower than elevation of Level 1 ,"SELECT ?stair4_0 ?variable14_0 ?elevationtoprojectzero6_0 ?elevation12_0 WHERE{   ?elevationtoprojectzero6_0 a ifcowl:IfcPhysicalQuantity . ?elevationtoprojectzero6_0 ifcowl:name_IfcProperty/expr:hasString  ""Elevation to project zero"" . ?stair4_0 schm:hasQuantity ?elevationtoprojectzero6_0  . ?elevation12_0 a ifcowl:IfcProperty . ?elevation12_0 ifcowl:name_IfcProperty/expr:hasString  ""Elevation"" . ?elevationtoprojectzero6_0 bimnlq:lessthan_property ?elevation12_0  . ?elevation12_0 bimnlq:ispropertyof ?variable14_0  . ?variable14_0 a ifcowl:IfcBuildingStorey .?variable14_0 ifcowl:name_IfcRoot/expr:hasString ""Level 1""  . ?stair4_0 a ifcowl:IfcStair .}"
71,Return walls with base constraint = Level 2 and top constraint = up to level: Roof .,"SELECT ?wall2_0 ?baseconstraint4_0 ?level27_0 ?topconstraint10_0 ?uptolevelroof13_0 ?level7_0 WHERE{   ?topconstraint10_0 a ifcowl:IfcProperty . ?topconstraint10_0 ifcowl:name_IfcProperty/expr:hasString  ""Top Constraint"" . ?wall2_0 schm:hasProperty ?topconstraint10_0  . ?baseconstraint4_0 a ifcowl:IfcProperty . ?baseconstraint4_0 ifcowl:name_IfcProperty/expr:hasString  ""Base Constraint"" . ?wall2_0 schm:hasProperty ?baseconstraint4_0  .  ?level7_0 a ifcowl:IfcBuildingStorey . ?variable7_0 a ifcowl:IfcBuildingStorey .?variable7_0 ifcowl:name_IfcRoot/expr:hasString ""Level 2""  . ?wall2_0 a ifcowl:IfcWall . ?baseconstraint4_0  bimnlq:getpropertystringvalue level27_0  .FILTER (?level27_0=""level 2"") . ?topconstraint10_0 bimnlq:getpropertystringvalue uptolevelroof13_0  .FILTER (?uptolevelroof13_0=""up to level: roof"") .}"
72,Find stairs that contain stairflight whose riser height is less than 0.2 . ,"SELECT ?stair2_0 ?stairflight5_0 ?riserheight7_0 WHERE{   ?stairflight5_0 a ifcowl:IfcStairFlight . ?stair2_0 schm:hasElementDecomposition ?stairflight5_0  . ?stairflight5_0 schm:hasProperty ?riserheight7_0  . ?riserheight7_0 bimnlq:getpropertydoublevalue ?riserheight7_0value  .FILTER ( ?riserheight7_0value<0.2) . ?riserheight7_0 a ifcowl:IfcProperty . ?riserheight7_0 ifcowl:name_IfcProperty/expr:hasString  ""RiserHeight"" . ?stair2_0 a ifcowl:IfcStair .}"
73, Walls whose length less than 3 at roof level. ,"SELECT ?wall1_0 ?length3_0 ?variable8_0 WHERE{   ?variable8_0 a ifcowl:IfcBuildingStorey .?variable8_0 ifcowl:name_IfcRoot/expr:hasString ""Roof""  . ?wall1_0 schm:isContainedIn ?variable8_0  . ?wall1_0 a ifcowl:IfcWall . ?wall1_0 schm:hasProperty ?length3_0  . ?length3_0 bimnlq:getpropertydoublevalue ?length3_0value  .FILTER ( ?length3_0value<3.0) . ?length3_0 a ifcowl:IfcProperty . ?length3_0 ifcowl:name_IfcProperty/expr:hasString  ""Length"" .}"
74,How many spaces with category description as bedrooms in this house?  ,"SELECT ?space3_0 ?categorydescription5_0 ?bedroom8_0 WHERE{   ?categorydescription5_0 a ifcowl:IfcProperty . ?categorydescription5_0 ifcowl:name_IfcProperty/expr:hasString  ""Category Description"" . ?space3_0 schm:hasProperty ?categorydescription5_0  . ?space3_0 schm:hasProperty ?categorydescription5_0  . ?space3_0 a ifcowl:IfcSpace . ?categorydescription5_0 bimnlq:getpropertystringvalue ?bedroom8_0 . FILTER (bedroom8_0 =\""bedroom\"") . }"
75,  Return me the level that has the largest elevation  ,"SELECT ?level4_0 ?elevation9_0 WHERE{   ?elevation9_0 a ifcowl:IfcProperty . ?elevation9_0 ifcowl:name_IfcProperty/expr:hasString  ""Elevation"" . ?level4_0 schm:hasProperty ?elevation9_0  . ?level4_0 a ifcowl:IfcBuildingStorey .}ORDER BY DESC( ?elevation9_0value) LIMIT 1"
76, Select doors that are on the wall 493866 ,"SELECT ?door2_0 ?wall7_0 ?4938668_0 WHERE{   ?4938668_0 a ifcowl:IfcIdentifier . ?4938668_0 expr:hasString ""493866"" . ?wall7_0 ifcowl:tag_IfcElement ?4938668_0  . ?wall7_0 a ifcowl:IfcWall . ?door2_0 schm:isPlacedIn ?wall7_0  . ?door2_0 a ifcowl:IfcDoor .}"
77, Is window 007 has air space? ,"SELECT ?window2_0 ?airspace5_0 WHERE{   ?window2_0 a ifcowl:IfcWindow . ?window2_0 bimnlq:haslistedmaterial ?airspace5_0  . ?airspace5_0 a ifcowl:IfcMaterial . ?airspace5_0 ifcowl:name_IfcMaterial/expr:hasString ""Air Space"" .}"
78,Is metal iron used as handle accessories surface in the Door 19 ?,"SELECT ?metaliron2_0 ?handleaccessoriessurface6_0 ?door1911_0 WHERE{   ?handleaccessoriessurface6_0 a ifcowl:IfcProperty . ?handleaccessoriessurface6_0 schm:ispropertyof ?tempofdoor1911_0 . ?tempofdoor1911_0 schm:hasObjectTyping ?door1911_0 .   ?handleaccessoriessurface6_0 ifcowl:name_IfcProperty/expr:hasString  ""Handle Accessories Surface"" . ?handleaccessoriessurface6_0 bimnlq:getpropertybooleanvalue ?metaliron2_0  .FILTER ( ?metaliron2_0 = ""metal iron"") . ?door1911_0 a ifcowl:IfcTypeObject . ?door1911_0 ifcowl:name_IfcRoot/expr:hasString ""Door 19"" .}"
